A00;Kolera
B37.4;Kandidoza drugih urogenitalnih lokalizacij
B37.5;Kandidni meningitis
B37.6;Kandidni endokarditis
B37.7;Kandidna sepsa
B37.8;Kandidoza drugih lokalizacij
B37.81;Kandidoza požiralnika
B37.88;Kandidoza na drugih mestih
B37.9;Kandidoza, neopredeljena
B38;Kokcidioidomikoza
B38.0;Akutna pljuèna kokcidioidomikoza
B38.1;Kronièna pljuèna kokcidioidomikoza
B38.2;Pljuèna kokcidioidomikoza, neopredeljena
B38.3;Kožna kokcidioidomikoza
B38.4;Kokcidioidomikozni meningitis
B38.7;Diseminirana kokcidioidomikoza
B38.8;Druge oblike kokcidioidomikoze
B38.9;Kokcidioidomikoza, neopredeljena
B39;Histoplazmoza
B39.0;Akutna pljuèna kapsulirana histoplazmoza
B39.1;Kronièna pljuèna kapsulirana histoplazmoza
B39.2;Pljuèna histoplazmoza, neopredeljena
B39.3;Diseminirana kapsulirana histoplazmoza
B39.4;Kapsulirana histoplazmoza, neopredeljena
B39.5;Histoplasmosis duboisii
B39.9;Histoplazmoza, neopredeljena
B40;Blastomikoza
B40.0;Akutna pljuèna blastomikoza
B40.1;Kronièna pljuèna blastomikoza
B40.2;Pljuèna blastomikoza, neopredeljena
B40.3;Kožna blastomikoza
B40.7;Diseminirana blastomikoza
B40.8;Druge oblike blastomikoze
B40.9;Blastomikoza, neopredeljena
B41;Parakokcidioidomikoza
B41.0;Pljuèna parakokcidioidomikoza
B41.7;Diseminirana parakokcidioidomikoza
B41.8;Druge oblike parakokcidioidomikoze
B41.9;Parakokcidioidomikoza, neopredeljena
B42;Sporotrihoza
B42.0;Pljuèna sporotrihoza
B42.1;Limfokutana sporotrihoza
B42.7;Diseminirana sporotrihoza
B42.8;Druge oblike sporotrihoze
B42.9;Sporotrihoza, neopredeljena
B43;Kromomikoza in feomikotièni absces
B43.0;Kožna kromomikoza
B43.1;Feomikotièni možganski absces
B43.2;Subkutana feomikotièna absces in cista
B43.8;Druge oblike kromomikoze
B43.9;Kromomikoza, neopredeljena
B44;Aspergiloza
B44.0;Invazivna pljuèna aspergiloza
B44.1;Druge vrste pljuèna aspergiloza
B44.2;Tonzilarna aspergiloza
B44.7;Diseminirana aspergiloza
B44.8;Druge oblike aspergiloze
B44.9;Aspergiloza, neopredeljena
B45;Kriptokokoza
B45.0;Pljuèna kriptokokoza
B45.1;Cerebralna kriptokokoza
B45.2;Kožna kriptokokoza
B45.3;Kostna kriptokokoza
B45.7;Diseminirana kriptokokoza
B45.8;Druge oblike kriptokokoze
B45.9;Kriptokokoza, neopredeljena
B46;Zigomikoza
B46.0;Pljuèna mukormikoza
B46.1;Rinocerebralna mukormikoza
B46.2;Gastrointestinalna mukormikoza
B46.3;Kožna mukormikoza
B46.4;Diseminirana mukormikoza
B46.5;Mukormikoza, neopredeljena
B46.8;Druge zigomikoze
B46.9;Zigomikoza, neopredeljena
B47;Micetom
B47.0;Evmicetom
B47.1;Aktinomicetom
B47.9;Micetom, neopredeljen
B48;Druge mikoze, ki niso uvršèene drugje
B48.0;Lobomikoza
B48.1;Rinosporidioza
B48.2;Alešerioza
B48.3;Geotrihoza
B48.4;Peniciloza
B48.7;Oportunistiène mikoze
B48.8;Druge opredeljene mikoze
B49;Neopredeljena mikoza
B50;Malarija, ki jo povzroèa Plasmodium falciparum
B50.0;Malarija, ki jo povzroèa Plasmodium falciparum, s cerebralnimi zapleti
B50.8;Druga huda in z zapleti povezana malarija, ki jo povzroèa Plasmodium falciparum
B50.9;Malarija, ki jo povzroèa Plasmodium falciparum, neopredeljena
B51;Malarija, ki jo povzroèa Plasmodium vivax
B51.0;Malarija, ki jo povzroèa Plasmodium vivax, z rupturo vranice
B51.8;Malarija, ki jo povzroèa Plasmodium vivax, z drugimi zapleti
B51.9;Malarija, ki jo povzroèa Plasmodium vivax, brez zapletov
B52;Malarija, ki jo povzroèa Plasmodium malariae
B52.0;Malarija, ki jo povzroèa Plasmodium malariae, z nefropatijo
B52.8;Malarija, ki jo povzroèa Plasmodium malariae, z drugimi zapleti
B52.9;Malarija, ki jo povzroèa Plasmodium malariae, brez zapletov
B53;Druge vrste malarija, potrjena z izolacijo parazitov
B53.0;Malarija, ki jo povzroèa Plasmodium ovale
B53.1;Malarija, ki jo povzroèajo plazmodiji opic
B53.8;Druge vrste malarija, potrjena z izolacijo parazitov, ki ni uvršèena drugje
B54;Neopredeljena malarija
B55;Lišmenioza
B55.0;Visceralna lišmenioza
B55.1;Kožna lišmenioza
B55.2;Mukokutana lišmenioza
B55.9;Lišmenioza, neopredeljena
B56;Afriška tripanosomioza
B56.0;Gambienska tripanosomioza
B56.1;Rodezijska tripanosomioza
B56.9;Afriška tripanosomioza, neopredeljena
B57;Chagasova bolezen
B57.0;Akutna Chagasova bolezen s prizadetostjo srca
B57.1;Akutna Chagasova bolezen brez prizadetosti srca
B57.2;Chagasova bolezen (kronièna) s prizadetostjo srca
B57.3;Chagasova bolezen (kronièna) s prizadetostjo prebavil
B57.4;Chagasova bolezen (kronièna) s prizadetostjo živèevja
B57.5;Chagasova bolezen (kronièna) s prizadetostjo drugih organov
B58;Toksoplazmoza
B58.0;Toksoplazemska okulopatija
B58.1;Toksoplazemski hepatitis
B58.2;Toksoplazemski meningoencefalitis (G05.2*)
B58.3;Pljuèna toksoplazmoza (J17.3*)
B58.8;Toksoplazmoza s prizadetostjo drugih organov
B58.9;Toksoplazmoza, neopredeljena
B59;Pnevmocistoza (J17.3*)
B60;Druge protozojske bolezni, ki niso uvršèene drugje
B60.0;Babezioza
B60.1;Akantameboza
B60.2;Naeglerioza
B60.8;Druge opredeljene protozojske bolezni
B64;Neopredeljena protozojska bolezen
B65;Shistosomioza [bilharzioza]
B65.0;Shistosomioza, ki jo povzroèa Schistosoma haematobium [shistosomioza seèil]
B65.1;Shistosomioza, ki jo povzroèa Schistosoma mansoni [èrevesna shistosomioza]
B65.2;Shistosomioza, ki jo povzroèa Schistosoma japonicum
B65.3;Cerkarijski dermatitis
B65.8;Druge shistosomioze
B65.9;Shistosomioza, neopredeljena
B66;Druge metljajske infekcije
B66.0;Opistorhioza
B66.1;Klonorhioza
B66.2;Dikrocelioza
B66.3;Fasciolioza
B66.4;Paragonimioza
B66.5;Fasciolopsioza
B66.8;Druge opredeljene metljajske infekcije
B66.9;Metljajska infekcija, neopredeljena
B67;Ehinokokoza
B67.0;Infekcija jeter, ki jo povzroèa Echinococcus granulosus
B67.1;Infekcija pljuè, ki jo povzroèa Echinococcus granulosus
B67.2;Infekcija kosti, ki jo povzroèa Echinococcus granulosus
B67.3;Infekcija druge vrste in multiplih mest, ki jo povzroèa Echinococcus granulosus
B67.4;Infekcija, ki jo povzroèa Echinococcus granulosus, neopredeljena
B67.5;Infekcija jeter, ki jo povzroèa Echinococcus multilocularis
B67.6;Infekcija drugih in multiplih mest, ki jo povzroèa Echinococcus multilocularis
B67.7;Infekcija, ki jo povzroèa Echinococcus multilocularis, neopredeljena
B67.8;Ehinokokoza jeter, neopredeljena
B67.9;Ehinokokoza, druge vrste in neopredeljena
B68;Tenioza (trakuljavost)
B68.0;Trakuljavost, ki jo povzroèa Taenia solium
B68.1;Trakuljavost, ki jo povzroèa Taenia saginata
B68.9;Tenioza, neopredeljena
B69;Cisticerkoza
B69.0;Cisticerkoza centralnega živènega sistema
B69.1;Cisticerkoza oèesa
B69.8;Cisticerkoza drugih mest
B69.9;Cisticerkoza, neopredeljena
B70;Difilobotrioza in sparganoza
B70.0;Difilobotrioza
B70.1;Sparganoza
B71;Druge infekcije s trakuljami
B71.0;Himenolepioza
B71.1;Dipilidioza
B71.8;Druge opredeljene infekcije s trakuljami
B71.9;Infekcija s trakuljo, neopredeljena
B72;Drakunkulioza
B73;Onhocerkoza
B74;Filarioza
B74.0;Filarioza, ki jo povzroèa Wuchereria bancrofti
B74.1;Filarioza, ki jo povzroèa Brugia malayi
B74.2;Filarioza, ki jo povzroèa Brugia timori
B74.3;Loioza
B74.4;Mansonelioza
B74.8;Druge filarioze
B74.9;Filarioza, neopredeljena
B75;Trihineloza
B76;Bolezni zaradi rudarskih glist
B76.0;Ankilostomioza
B76.1;Nekatorioza
B76.8;Druge bolezni zaradi rudarskih glist
B76.9;Bolezen zaradi rudarske gliste, neopredeljena
B77;Askarioza
B77.0;Askarioza s èrevesnimi komplikacijami
B77.8;Askarioza z drugimi komplikacijami
B77.9;Askarioza, neopredeljena
B78;Strongiloidioza
B78.0;Èrevesna strongiloidioza
B78.1;Kožna strongiloidioza
B78.7;Diseminirana strongiloidioza
B78.9;Strongiloidioza, neopredeljena
B79;Trihurioza
B80;Enterobioza
B81;Druge èrevesne helmintiaze, ki niso uvršèene drugje
B81.0;Anisakioza
B81.1;Èrevesna kapilarioza
B81.2;Trihostrongilioza
B81.3;Èrevesna angiostrongilioza
B81.4;Mešane èrevesne helmintiaze
B81.8;Druge opredeljene èrevesne helmintiaze
B82;Neopredeljeni èrevesni parazitizem
B82.0;Èrevesna helmintiaza, neopredeljena
B82.9;Èrevesni parazitizem, neopredeljen
B83;Druge helmintiaze
B83.0;Visceralna larva migrans
B83.1;Gnatostomioza
B83.2;Angiostrongilioza, ki jo povzroèa Parastrongylus cantonensis
B83.3;Singamioza
B83.4;Notranja hirudinioza
B83.8;Druge opredeljene helmintioze
B83.9;Helmintioza, neopredeljena
B85;Pedikuloza in ftirioza
B85.0;Pedikuloza, ki jo povzroèa Pediculus humanus capitis
B85.1;Pedikuloza, ki jo povzroèa Pediculus humanus corporis
B85.2;Pedikuloza, neopredeljena
B85.3;Ftirioza
B85.4;Mešana pedikuloza in ftirioza
B86;Skabies
B87;Miioza - infestacija z mušjimi lièinkami
B87.0;Kožna miioza - infestacija kože z mušjimi lièinkami
B87.1;Miioza rane - infestacija rane z mušjimi lièinkami
B87.2;Oèesna miioza - infestacija oèesa z mušjimi lièinkami
B87.3;Nazofaringealna miioza -  infestacija nazofarinksa z mušjimi lièinkami
B87.4;Ušesna miioza -  infestacija ušesa z mušjimi lièinkami
B87.8;Miioza na drugih mestih -  infestacija  z mušjimi lièinkami na drugih mestih
B87.9;Miioza, neopredeljena - infestacija  z mušjimi lièinkami, neopredeljena
B88;Druge infestacije
B88.0;Druge akarioze
B88.1;Tungioza [infestacija s pešèeno muho]
B88.2;Druge artropodne infestacije
B88.3;Zunanja hirudinioza
B88.8;Druge opredeljene infestacije
B88.9;Infestacija, neopredeljena
B89;Neopredeljena parazitska bolezen
B90;Kasne posledice tuberkuloze
B90.0;Posledice tuberkuloze centralnega živènega sistema
B90.1;Posledice genitourinarne tuberkuloze
B90.2;Posledice tuberkuloze kosti in sklepov
B90.8;Posledice tuberkuloze drugih organov
B90.9;Posledice tuberkuloze respiratornega trakta in neopredeljene tuberkuloze
B91;Kasne posledice poliomielitisa
B92;Kasne posledice lepre
B94;Kasne posledice drugih in neopredeljenih infekcijskih in parazitskih bolezni
B94.0;Posledice trahoma
B94.1;Posledice virusnega encefalitisa
B94.2;Posledice virusnega hepatitisa
B94.8;Posledice drugih opredeljenih infekcijskih in parazitskih bolezni
B94.9;Posledice neopredeljene infekcijske ali parazitske bolezni
B95;Streptokok in stafilokok kot vzrok bolezni, uvršèenih v druga poglavja
B95.0;Streptokok, skupina A, kot vzrok bolezni, uvršèenih drugje
B95.1;Streptokok, skupina B, kot vzrok bolezni, uvršèenih drugje
B95.2;Streptokok, skupina D, kot vzrok bolezni, uvršèenih drugje
B95.3;Streptococcus pneumoniae kot vzrok bolezni, uvršèenih drugje
B95.4;Druge vrste streptokokov kot vzrok bolezni, uvršèenih drugje
B95.41;Streptokok skupine C, kot vzrok bolezni, uvršèenih drugje
B95.42;Streptokok skupine G, kot vzrok bolezni, uvršèenih drugje
B95.48;Streptokoki drugih opredeljenih skupin kot vzrok bolezni, uvršèenih drugje
B95.5;Neopredeljeni streptokok kot vzrok bolezni, uvršèenih drugje
B95.6;Staphylococcus aureus kot vzrok bolezni, uvršèenih drugje
B95.7;Druge vrste stafilokokov kot vzrok bolezni, uvršèenih drugje
B95.8;Neopredeljeni stafilokok kot vzrok bolezni, uvršèenih drugje
B96;Drugi bakterijski povzroèitelji kot vzrok bolezni, uvršèenih v druga poglavja
B96.0;Mycoplasma pneumoniae [M. pneumoniae] kot vzrok bolezni, uvršèenih drugje
B96.1;Klebsiella pneumoniae [K. pneumoniae] kot vzrok bolezni, uvršèenih drugje
B96.2;Escherichia coli [E. coli] kot vzrok bolezni, uvršèenih drugje
B96.3;Haemophilus influenzae [H. influenzae] kot vzrok bolezni, uvršèenih drugje
B96.31;Haemophilus influenzae [H. influenzae] tipa B kot vzrok bolezni, uvršèeni drugje
B96.38;Haemophilus influenzae [H. influenzae] druge opredeljene vrste kot vzrok bolezni, uvršèenih drugje
B96.39;Haemophilus influenzae [H. influenzae] neopredeljene vrste, kot vzrok bolezni, uvršèenih drugje
B96.4;Proteus (mirabilis)(morganii) kot vzrok bolezni, uvršèenih drugje
B96.5;Pseudomonas (aeruginosa) kot vzrok bolezni, uvršèenih drugje
B96.6;Bacillus fragilis [B. fragilis] kot vzrok bolezni, uvršèenih drugje
B96.7;Clostridium perfringens [C. perfringens] kot vzrok bolezni, uvršèenih drugje
B96.8;Drugi opredeljeni bakterijski povzroèitelji kot vzrok bolezni, uvršèenih drugje 
B96.81;Helicobacter pylori [H. pylori] kot vzrok bolezni, uvršèenih drugje
B96.88;Druge in neopredeljene bakterije kot vzrok bolezni, uvršèenih drugje
B97;Virusni povzroèitelji kot vzrok bolezni, uvršèenih v druga poglavja
B97.0;Adenovirus kot vzrok bolezni, uvršèenih drugje
B97.1;Enterovirus kot vzrok bolezni, uvršèenih drugje
B97.2;Coronavirus kot vzrok bolezni, uvršèenih drugje
B97.3;Retrovirus kot vzrok bolezni, uvršèenih drugje
B97.4;Respiratorni sincicijski virus kot vzrok bolezni, uvršèenih drugje
B97.5;Reovirus kot vzrok bolezni, uvršèenih drugje
B97.6;Parvovirus kot vzrok bolezni, uvršèenih drugje
B97.7;Papillomavirus kot vzrok bolezni, uvršèenih drugje
B97.8;Drugi virusni povzroèitelji kot vzrok bolezni, uvršèenih drugje
B99;Druge in neopredeljene infekcijske bolezni 
C00;Maligna neoplazma ustnice
C00.0;Maligna neoplazma zunanje zgornje ustnice
C00.1;Maligna neoplazma zunanje spodnje ustnice
C00.2;Maligna neoplazma zunanje ustnice, neopredeljena
C00.3;Maligna neoplazma zgornje ustnice, notranji del
C00.4;Maligna neoplazma spodnje ustnice, notranji del
C00.5;Maligna neoplazma ustnice, neopredeljena, notranji del
C00.6;Maligna neoplazma komisure ustnic (ustni kot)
C00.8;Maligna neoplazma - prerašèajoèa lezija ustnice
C00.9;Maligna neoplazma ustnice, neopredeljena
C01;Maligna neoplazma baze jezika
C02;Maligna neoplazma drugih in neopredeljenih delov jezika
C02.0;Maligna neoplazma dorzalne površine jezika
C02.1;Maligna neoplazma roba jezika
C02.2;Maligna neoplazma ventralne površine jezika
C02.3;Maligna neoplazma sprednjih dveh tretjin jezika, brez opredelitve mesta
C02.4;Maligna neoplazma jeziènega tonzila (jeziènega mandlja)
C02.8;Maligna neoplazma - prerašèajoèa lezija jezika
C02.9;Maligna neoplazma jezika, neopredeljena
C03;Maligna neoplazma dlesni
C03.0;Maligna neoplazma zgornje dlesni
C03.1;Maligna neoplazma spodnje dlesni
C03.9;Maligna neoplazma dlesni, neopredeljena
C04;Maligna neoplazma ustnega dna
C04.0;Maligna neoplazma sprednjega ustnega dna
C04.1;Maligna neoplazma lateralnega (stranskega) ustnega dna
C04.8;Maligna neoplazma - prerašèajoèa lezija ustnega dna
C04.9;Maligna neoplazma ustnega dna, neopredeljeno
C05;Maligna neoplazma neba
C05.0;Maligna neoplazma trdega neba
C05.1;Maligna neoplazma mehkega neba
C05.2;Maligna neoplazma uvule (jezièka)
C05.8;Maligna neoplazma - prerašèajoèa lezija neba
C05.9;Maligna neoplazma neba, neopredeljeno
C06;Maligna neoplazma drugih in neopredeljenih ustnih delov
C06.0;Maligna neoplazma bukalne (liène) sluznice
C06.1;Maligna neoplazma vestibuluma ust (ustna votlina)
C06.2;Maligna neoplazma retromolarnega podroèja
C06.8;Maligna neoplazma - prerašèajoèa lezija drugih in neopredeljenih ustnih delov
C06.9;Maligna neoplazma ust, neopredeljena
C07;Maligna neoplazma parotidne žleze (obušesne slinavke)
C08;Maligna neoplazma drugih in neopredeljenih velikih žlez slinavk
C08.0;Maligna neoplazma submandibularne (podèeljustne) slinavke
C08.1;Maligna neoplazma sublingvalne (podjeziène) slinavke
C08.8;Maligna neoplazma - prerašèajoèa lezija velikih žlez slinavk
C08.9;Maligna neoplazma velike žleze slinavke, neopredeljena
C09;Maligna neoplazma tonzile (nebnice)
C09.0;Maligna neoplazma tonzilarne lože
C09.1;Maligna neoplazma tonzilarnega (nebnega) loka (sprednjega)(zadnjega)
C09.8;Maligna neoplazma - prerašèajoèa lezija tonzile
C09.9;Maligna neoplazma tonzile, neopredeljena
C10;Maligna neoplazma orofarinksa (ustnega dela žrela)
C10.0;Maligna neoplazma valekule
C10.1;Maligna neoplazma sprednje površine epiglotisa (poklopca)
C10.2;Maligna neoplazma stranske stene orofarinksa
C10.3;Maligna neoplazma zadnje stene orofarinksa
C10.4;Maligna neoplazma branhialne reže
C10.8;Maligna neoplazma - prerašèajoèa lezija orofarinksa
C10.9;Maligna neoplazma orofarinksa, neopredeljena
C11;Maligna neoplazma nazofarinksa (nosnega dela žrela)
C11.0;Maligna neoplazma zgornje stene nazofarinksa
C11.1;Maligna neoplazma zadnje stene nazofarinksa
C11.2;Maligna neoplazma stranske stene nazofarinksa
C11.3;Maligna neoplazma sprednje stene nazofarinksa
C11.8;Maligna neoplazma - prerašèajoèa lezija nazofarinksa
C11.9;Maligna neoplazma nazofarinksa, neopredeljena
C12;Maligna neoplazma piriformnega sinusa
C13;Maligna neoplazma hipofarinksa (spodnjega dela žrela)
C13.0;Maligna neoplazma postkrikoidne regije
C13.1;Maligna neoplazma ariepiglotisne gube, hipofaringealnega dela
C13.2;Maligna neoplazma zadnje stene hipofarinksa
C13.8;Maligna neoplazma - prerašèajoèa lezija hipofarinksa
C13.9;Maligna neoplazma hipofarinksa, neopredeljena
C14;Maligna neoplazma drugih in slabo opredeljenih mest na ustnici, v ustni votlini in farinksu
C14.0;Maligna neoplazma farinksa (žrela), neopredeljena
C14.2;Maligna neoplazma Waldeyerjevega obroèa
C14.8;Waldeyerjev - prerašèajoèa lezija ustnice, ustne votline in farinksa 
C15;Maligna neoplazma požiralnika
C15.0;Maligna neoplazma cervikalnega (vratnega) dela požiralnika
C15.1;Maligna neoplazma torakalnega (prsnega) dela požiralnika
C15.2;Maligna neoplazma abdominalnega (trebušnega) dela požiralnika
C15.3;Maligna neoplazma zgornje tretjine požiralnika
C15.4;Maligna neoplazma srednje tretjine požiralnika
C15.5;Maligna neoplazma spodnje tretjina požiralnika
C15.8;Maligna neoplazma - prerašèajoèa lezija požiralnika
C15.9;Maligna neoplazma požiralnika, neopredeljeno
C16;Maligna neoplazma želodca
C16.0;Maligna neoplazma kardije
C16.1;Maligna neoplazma dna želodca
C16.2;Maligna neoplazma telesa želodca
C16.3;Maligna neoplazma piloriènega antruma (votline)
C16.4;Maligna neoplazma pilorusa (vratarja)
C16.5;Maligna neoplazma male želodène krivine, neopredeljena
C16.6;Maligna neoplazma velike želodène krivine, neopredeljena
C16.8;Maligna neoplazma - prerašèajoèa lezija želodca
C16.9;Maligna neoplazma želodca, neopredeljen
C17;Maligna neoplazma tankega èrevesa
C17.0;Maligna neoplazma dvanajstnika (duodenuma)
C17.1;Maligna neoplazma jejunuma
C17.2;Maligna neoplazma ileuma
C17.3;Maligna neoplazma Meckelovega divertikla
C17.8;Maligna neoplazma - prerašèajoèa lezija tankega èrevesa
C17.9;Maligna neoplazma tankega èrevesa, neopredeljeno
C18;Maligna neoplazma kolona (debelega èrevesa)
C18.0;Maligna neoplazma cekuma (slepega èrevesa)
C18.1;Maligna neoplazma apendiksa (slepièa)
C18.2;Maligna neoplazma ascendentnega kolona (dela debelega èrevesa)
C18.3;Maligna neoplazma hepatiène fleksure (jetrnega zavoja)
C18.4;Maligna neoplazma transverzalnega kolona (preènega debelega èrevesa)
C18.5;Maligna neoplazma spleniène fleksure (vraniènega zavoja)
C18.6;Maligna neoplazma descendentnega kolona (dela debelega èrevesa)
C18.7;Maligna neoplazma sigmoidnega kolona (esastega debelega èrevesa)
C18.8;Maligna neoplazma - prerašèajoèa lezija kolona (debelega èrevesa)
C18.9;Maligna neoplazma kolona, neopredeljena
C19;Maligna neoplazma rektosigmoidne zveze
C20;Maligna neoplazma rektuma (danke)
C21;Maligna neoplazma anusa in analnega kanala (zadnjika in zadnjiènega kanala)
C21.0;Maligna neoplazma anusa (zadnjika), neopredeljena
C21.1;Maligna neoplazma analnega (zadnjiènega) kanala
C21.2;Maligna neoplazma kloakogenega predela
C21.8;Maligna neoplazma - prerašèajoèa lezija rektuma, anusa in analnega kanala (danke, zadnjika in zadnjiènega kanala)
C22;Maligna neoplazma jeter in intrahepatiènih (znotrajjetrnih) žolènih vodov
C22.0;Karcinom jetrnih celic
C22.1;Karcinom intrahepatiènega žolèevoda
C22.2;Hepatoblastom
C22.3;Angiosarkom jeter
C22.4;Drugi sarkomi jeter
C22.7;Drugi opredeljeni jetrni karcinomi
C22.9;Maligna neoplazma jeter, neopredeljena
C23;Maligna neoplazma žolènika
C24;Maligna neoplazma drugih in neopredeljenih delov biliarnega trakta (žolènih poti)
C24.0;Maligna neoplazma ekstrahepatiènega (zunajjetrnega) žolèevoda
C24.1;Maligna neoplazma Vaterjeve ampule
C24.8;Maligna neoplazma - prerašèajoèa lezija biliarnega trakta (žolènih poti)
C24.9;Maligna neoplazma biliarnega trakta (žolèna pota), neopredeljena
C25;Maligna neoplazma trebušne slinavke (pankreasa)
